Data file: /home/fk1j/attas/aiaa_general/check_stall/stall_f623_qst01.cdf
44 Variables plus time, with 3001 values each

              T           AXCG           AYCG           AZCG          AYCKP          AZCKP           PRGX           QRGY           RRGZ            PHI            THE            PSI           ALCG           BECG         VTASCG           HQNH           PDOT           QDOT           RDOT          HRADIO          VCAS           DELV          IHTRM          N1T1L          N1T2R          DLC_L          DLC_R         DAIL_L         DAIL_R           DRUD           MACH            SAT          PSTAT            RHO          PHLAT          LALON           FN_L           FN_R         FUELUS         BETDOT             FW          ALDOT           FLAP         DSPL_L         DSPL_R
              s         M/S**2         M/S**2         M/S**2         M/S**2         M/S**2          DEG/S          DEG/S          DEG/S            DEG            DEG            DEG            DEG            DEG            M/S              M         DEG/S2         DEG/S2         DEG/S2              M            M/S            DEG            DEG        PROZENT        PROZENT            DEG            DEG            DEG            DEG            DEG             --             °K             PA          Kg/m3            DEG            DEG              N              N             KG          DEG/S             --          DEG/S            DEG            DEG            DEG

         1.3600       1.041328      0.1138823       -9.28801       0.260518       -9.23478    -0.00094426      0.0024796    -0.00103199     -0.0333641      0.1146651       0.036432        5.07203      -0.789353       99.19907       5473.751     -0.0031569     -0.0024555    -0.00134877       787.8696       77.30332      0.0331609    -0.02322459       83.21262       85.48705    -0.01470173    -0.01480992    -0.01692486     0.00390500    -0.01754594      0.3188750       249.7996       50929.58      0.7102585      0.9365672      0.1897133       10238.21       11008.88       1990.000      0.1032284   0.000000E+00     -0.0016442     0.02194927    0.001501158    0.003365159
         1.4000       1.145436      0.1385147       -9.21703       0.092049       -9.14061    -0.00022483      0.0024796    -0.00246775     -0.0334600      0.1146651       0.036240        5.06839      -0.789745       99.15669       5474.056     -0.0038587      0.0086537    -0.00084939       787.8696       77.30332      0.0337233    -0.02313045       83.44733       85.35656    -0.01445648    -0.01449784    -0.01618069     0.00352678    -0.01754594      0.3188750       249.5928       50929.58      0.7108469      0.9365672      0.1897133       10332.75       10978.52       1990.000     -0.0848231   0.000000E+00     -0.0013885     0.02187159    0.001501158    0.003181994
         1.4400       1.022400      0.1483672       -9.09873       0.260518       -9.18770    -0.00022483      0.0032009    -0.00174987     -0.0336517      0.1144733       0.036144        5.06552      -0.792390       99.05666       5474.208     -0.0032560      0.0208218    -0.00003594       787.8696       77.30332      0.0333484    -0.02313045       83.31693       85.43485    -0.01483238    -0.01459798    -0.01673880     0.00371587    -0.01754594      0.3188750       249.6027       50929.58      0.7108188      0.9365703      0.1897133       10292.19       11008.87       1990.000     -0.0320084   0.000000E+00     -0.0011547     0.02187159    0.001501158    0.003365159
         1.4800       1.135972      0.2173369       -9.21703       0.140183       -9.18770     0.00049460      0.0039222    -0.00246775     -0.0338435      0.1144733       0.036144        5.06352      -0.794056       98.94267       5474.208     -0.0018237      0.0280160     0.00081567       787.8696       77.30332      0.0333484    -0.02313045       83.44733       85.69583    -0.01480456    -0.01459798    -0.01692486     0.00447235    -0.01754594      0.3189375       249.6139       50929.58      0.7107868      0.9365703      0.1897133       10344.61       11098.65       1990.000      0.0776204   0.000000E+00     -0.0007633     0.02187159    0.001501158    0.003181994
         1.5200       1.102846      0.1089566       -8.93310       0.164250       -9.21124    -0.00094426      0.0060861    -0.00174987     -0.0339393      0.1143775       0.036049        5.06234      -0.790235       98.86657       5474.513     -0.0005171      0.0260504     0.00137226       787.8696       77.30332      0.0337233    -0.02303630       83.34301       85.56534    -0.01480456    -0.01480992    -0.01692486     0.00447235    -0.01754594      0.3189375       249.6214       50929.58      0.7107655      0.9365703      0.1897133       10311.95       11061.32       1990.000      0.0448126   0.000000E+00     -0.0002191     0.02187159    0.001501158    0.003365159
         1.5600       1.031864      0.1385147       -9.02774       0.188317       -9.23478    -0.00094426      0.0075288    -0.00174987     -0.0341311      0.1141857       0.035857        5.06248      -0.776355       98.84231       5475.427      0.0000853      0.0152970     0.00144704       787.8696       77.30332      0.0333484    -0.02303630       83.47340       85.43485    -0.01466215    -0.01459798    -0.01692486     0.00371587    -0.01754594      0.3189375       249.6238       50929.58      0.7107587      0.9365703      0.1897133       10359.11       11021.16       1990.000     -0.0552151   0.000000E+00      0.0002673     0.02194927    0.001501158    0.003181994
         1.6000       1.079185      0.1286614       -9.26435       0.260518       -9.06998     0.00049460      0.0089713    -0.00174987     -0.0343228      0.1141857       0.035761        5.06339      -0.757120       98.85244       5475.427     -0.0000784      0.0004850     0.00125923       787.8696       77.30332      0.0337233    -0.02313045       83.73419       85.53925    -0.01470173    -0.01449784    -0.01692486     0.00390500    -0.01754594      0.3189375       249.6228       50929.58      0.7107615      0.9365703      0.1897133       10450.31       11053.80       1990.000     -0.0336091   0.000000E+00      0.0003620     0.02187159    0.001501158    0.003365159
         1.6400       0.946685      0.0941775       -9.38265       0.188317       -9.21124    -0.00022483      0.0075288    -0.00174987     -0.0344187      0.1139940       0.035665        5.06380      -0.742163       98.88185       5475.580     -0.0007038     -0.0120198     0.00134246       787.8696       77.30332      0.0335358    -0.02331874       83.34301       85.56534    -0.01455932    -0.01470978    -0.01711088     0.00409412    -0.01754594      0.3189375       249.6199       50929.58      0.7107698      0.9365703      0.1897133       10311.14       11060.49       1990.000      0.0760208   0.000000E+00     -0.0001063     0.02187159    0.001501158    0.003181994
         1.6800       1.017668      0.2666008       -9.35899       0.092049       -9.06998    -0.00094426      0.0046436    -0.00174987     -0.0346104      0.1139940       0.035569        5.06270      -0.733770       98.90861       5475.580     -0.0011661     -0.0176127     0.00198422       787.8696       77.30332      0.0337233    -0.02303630       83.52556       85.61754    -0.01498654    -0.01449784    -0.01711088     0.00409412    -0.01754594      0.3189375       249.6173       50929.58      0.7107773      0.9365703      0.1897133       10373.94       11075.62       1990.000      0.0400106   0.000000E+00     -0.0008680     0.02187159    0.001685914    0.003181994
         1.7200       1.022400      0.0202811       -9.24069       0.260518       -9.21124    -0.00022483      0.0046436    -0.00174987     -0.0348981      0.1138981       0.035473        5.06016      -0.731092       98.91891       5475.580     -0.0009825     -0.0155755     0.00295963       787.8696       77.31136      0.0333484    -0.02322459       83.36909       85.46095    -0.01484414    -0.01459798    -0.01711088     0.00390500    -0.01754594      0.3189375       249.6163       50903.15      0.7104114      0.9365733      0.1897133       10312.98       11019.52       1990.000     -0.1248335   0.000000E+00     -0.0013863     0.02187159    0.001501158    0.003365159
